"Id","Name","CodeId","FieldId","Tag","Status","Description","CreateDate","CreateUserId","UpdateDate","UpdateUserId","LanguageId","UnitCode"
3CBDAC2EE383E6458C546B2C7213AE23,"Kế hoạch - đầu tư","iGate.023",,"",1,"",31/10/19,"",,"","vi","LDG"
3CBDAC2EE383E6458C556B2C721360AE,"IGate","2",,"",1,"",31/10/19,"",,"","vi","LDG"
1B6B696C8CBEA54A85B9BE955AF5773E,"Hoạt động","newschool",,"",1,"",15/11/19,"",,"","vi","LDG"
864FA84D25E514449C5C3F5D0C2249F3,"Giải thể","newschool",,"",1,"",15/11/19,"",,"","vi","LDG"
2B2E2097356B410C8199C640C2D39E9F,"Xây dựng cơ bản","2",,"",1,"",31/10/19,"",,"","vi","LDG"
AD75F90DE3084F1A8AE07F44AEA2FF00,"Thương mại dịch vụ","2",,"",1,"",31/10/19,"",,"","vi","LDG"
E32ABECC0ECA45658046E8AD37E0391D,"Nông thôn mới","2",,"",1,"",31/10/19,"",,"","vi","LDG"
B0B66E3F810F474B9D833648F2F4C8B0,"Thu chi ngân sách ","2",,"",1,"",31/10/19,"",,"","vi","LDG"
FE0463DECC434524934581F69898DFF4,"Đầu tư phát triển ","2",,"",1,"",31/10/19,"",,"","vi","LDG"
A3EF282C44E14B15AB188954465C5C1D,"Quản lý đô thị ","2",,"",1,"",31/10/19,"",,"","vi","LDG"
81C3BC5543CC4827B37AA0FE339ED33A,"Công trình trọng điểm","2",,"",1,"",31/10/19,"",,"","vi","LDG"
F12BF5359C844102B18D32AFCE250AF2,"Văn hóa - xã hội","2",,"",1,"",31/10/19,"",,"","vi","LDG"
B3B6A7FCFBB547878F3E56F38CEB5925,"An Ninh Quốc Phòng - Trật tự an toàn xã hội - Nội chính","2",,"",1,"",31/10/19,"",,"","vi","LDG"
44E93E473DE945BE859D835A5F2ADF25,"Xây dựng chính quyền - Cải cách hành chính","2",,"",1,"",31/10/19,"",,"","vi","LDG"
F8D46D32ECA6EF4CA7727B1FC76F7B43,"Bảo vệ rừng","olab",,"",1,"",11/08/20,"",,"","vi","LDG"
CDE01FFDB9C9E04A83EB5203909241B8,"Quản lý, bảo vệ rừng","olab",,"",1,"",13/10/20,"",,"","vi","LDG"
9965D51DF748B84A9D957767C90B2591,"An toàn giao thông, An ninh trật tự","olab",,"",1,"",13/10/20,"",,"","vi","LDG"
9F69D93380B0BC4DA2F840D499C022A8,"Vệ sinh an toàn thực phẩm","olab",,"",1,"",13/10/20,"",,"","vi","LDG"
3956BC7E6FFD6B4FBF382CADD502822E,"Văn hóa, du lịch","olab",,"",1,"",13/10/20,"",,"","vi","LDG"
228FBBE38C11144682CAA943C70CEC7C,"Môi trường","olab",,"",1,"",13/10/20,"",,"","vi","LDG"
1C8733E2E0A2DA4B9E203ABA610BF6E2,"Lĩnh vực khác","olab",,"",1,"",30/03/21,"",,"","vi","LDG"
