"Id","Code","Name","ImportId","Tag","Status","Description","CreateDate","CreateUserId","UpdateDate","UpdateUserId","LanguageId","UnitCode","ImageUrl","ColorCode","HasOdt","Time","TimeType"
A4158BF0E4360948ABE3BF29CAE68355,"PANGUOIDAN","Vệ sinh môi trường","","",1,"<p>Vệ sinh m&ocirc;i trường</p>
",30/05/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd",27/07/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd","vi","LDG","/Images/LDG/superadminolab/recycle-sign_636915413370017962_636941202786300923.png","#a795f0",,,
DEFE42AD36210C42B4D88AFA5AA73BD0,"PACUTRI","Lĩnh vực phản ánh cử tri","","",1,"",30/05/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd",03/06/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd","vi","LDG","/Images/LDG/superadminolab/chuanbi_dalat_125nam___636809207107425275.jpg","#0c5213",,,
829DEA921478C1419E95D8DDA2841714,"PATHT","Vệ sinh ATTP","","#f5a262",1,"",15/10/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd",17/03/20,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd","vi","LDG","/Images/LDG/superadminolab/vesinhantoanthucpham_637067505523430334.png","#cc8956",0,2,2
193FF59F130CCD459A4FFF6E4D12E837,"PATHT","Văn hóa, du lịch","","#86f786",1,"",15/10/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd",15/10/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd","vi","LDG","/Images/LDG/superadminolab/vanhoa_637067506715057659.png","#53a653",0,4,2
519BFCE966183942B97DB222ECDF9249,"PATHT","Môi trường","","#ffdd00",1,"",15/10/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd",15/10/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd","vi","LDG","/Images/LDG/superadminolab/lanchiemlongleduong_637067507630047438.png","#b8a739",0,4,2
99F2C726EABB10459EA053574C4F7069,"PATHT","Lấn chiếm lòng lề đường","","#6ae5f5",-1,"",15/10/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd",17/03/20,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd","vi","LDG","/Images/LDG/superadminolab/lanchiemleduong_636915413370017962_636941197131597520.png","#43bccc",,2,2
A9DA466E6BC1E54295B7B3572BD490FF,"IOC.TNGT","Tai nạn giao thông","","",1,"",05/12/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd",,"","vi","LDG","","",,,
E2410A48179C0340B13ED7A9CDDD604A,"IOC.115","Cấp cứu","","",1,"",05/12/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd",,"","vi","LDG","","",,,
4AA6534BEFB1E44896D4E33498E50597,"IOC.CR","Cháy rừng","","",1,"",05/12/19,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd",,"","vi","LDG","","",,,
523FF0AA80C84E4E9D07443283BE26C6,"PATHT","a","","",-1,"<p>fd</p>
",10/08/21,"b448f2cd-b0f3-4089-9f6b-c02f22235cfd",,"","vi","LDG","","",,,
